,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
0,30112340,WENDYS,469,Flatbush Avenue,Brooklyn,Hamburgers,Cycle Inspection / Re-inspection,2021-08-05,B,16.0,40.662651518808,-73.962081374927,Kings,2021,,B,
5,40356483,WILKENS FINE FOOD,7114,Avenue U,Brooklyn,Sandwiches,Cycle Inspection / Re-inspection,2022-08-19,A,2.0,40.620111590927,-73.906989489698,Kings,2022,A,,
6,40360076,CARVEL,203,Church Avenue,Brooklyn,Frozen Desserts,Cycle Inspection / Re-inspection,2019-05-29,A,12.0,40.643329721911,-73.978188715503,Kings,2019,A,,
9,40361618,SALS DELI,12908,20 Avenue,Queens,Sandwiches,Cycle Inspection / Re-inspection,2022-02-01,A,5.0,40.781673836068,-73.839415976831,Queens,2022,A,,
10,40362264,P S DELI GROCERY,730,Columbus Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-08-16,A,12.0,40.792620635885,-73.96770961573,New York,2022,A,,
13,40363298,CAFE METRO,625,8 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-02,A,2.0,40.756185423077,-73.990564733785,New York,2022,A,,
16,40363427,BAGELS N BUNS,2491,Victory Boulevard,Staten Island,Sandwiches,Cycle Inspection / Re-inspection,2021-11-29,B,18.0,40.610267863828,-74.146401210286,Richmond,2021,,B,
19,40363834,CARVEL,1111,Hylan Boulevard,Staten Island,Frozen Desserts,Cycle Inspection / Re-inspection,2022-03-02,A,10.0,40.598553130746,-74.079646008177,Richmond,2022,A,,
29,40364296,HAPPY GARDEN,277,East Kingsbridge Road,Bronx,Chinese,Cycle Inspection / Re-inspection,2020-02-03,A,2.0,40.863648812188,-73.894239617341,Bronx,2020,A,,
30,40364305,PHILADELPHIA GRILLE EXPRESS,10004,4 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2023-01-23,A,3.0,40.612722489797,-74.033751771822,Kings,2023,A,,
33,40364389,OLD TOWN BAR RESTAURANT,45,East 18 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-12-09,A,9.0,40.73759507351,-73.989647208522,New York,2019,A,,
35,40364404,POLISH NATIONAL HOME,261,Driggs Avenue,Brooklyn,Polish,Cycle Inspection / Re-inspection,2018-04-06,A,10.0,40.722622173128,-73.948301829523,Kings,2018,A,,
36,40364439,SEVILLA RESTAURANT,62,Charles Street,Manhattan,Latin American,Cycle Inspection / Re-inspection,2022-05-18,B,19.0,40.734908378121,-74.00297328507,New York,2022,,B,
45,40364443,CRIMINAL COURT BLDG CAFETERIA,100,Centre Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-12-02,B,18.0,40.71607656565,-74.001424896229,New York,2022,,B,
52,40364467,NYAC MAIN DINING ROOM,180,Central Park South,Manhattan,American,Cycle Inspection / Re-inspection,2020-01-07,C,37.0,40.766718222992,-73.978736594767,New York,2020,,,C
55,40364518,7B BAR,108,Avenue B,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-28,A,10.0,40.724984562415,-73.981282649047,New York,2022,A,,
58,40364531,CAFE ATELIER ART STUDENTS LEAGUE,215,West 57 Street,Manhattan,American,Cycle Inspection / Re-inspection,2016-11-25,A,9.0,40.765886941316,-73.980895665472,New York,2016,A,,
64,40364668,MARCHIS RESTAURANT,251,East 31 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2018-09-29,A,12.0,40.743332794963,-73.978336291181,New York,2018,A,,
72,40364715,OLD HOMESTEAD,56,9 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2018-03-26,A,12.0,40.741372224356,-74.005037755098,New York,2018,A,,
74,40364744,NEW PARK PIZZERIA RESTAURANT,156-71,Crossbay Boulevard,Queens,Pizza,Cycle Inspection / Re-inspection,2019-12-04,A,8.0,40.663101703308,-73.840837932811,Queens,2019,A,,
76,40365013,CRYSTAL ROOM,67,Olympia Boulevard,Staten Island,Italian,Cycle Inspection / Re-inspection,2019-08-14,A,5.0,40.592814177678,-74.070677121271,Richmond,2019,A,,
77,40365166,CORNER BISTRO,331,West 4 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-08-20,A,9.0,40.737924847314,-74.003861116033,New York,2019,A,,
80,40365226,NOSTRAND DONUT SHOP,1449,Nostrand Avenue,Brooklyn,Donuts,Cycle Inspection / Re-inspection,2021-12-01,A,9.0,40.650975896814,-73.949579249402,Kings,2021,A,,
82,40365239,DORRIANS RED HAND RESTAURANT,1616,2 Avenue,Manhattan,Irish,Cycle Inspection / Re-inspection,2019-12-19,A,9.0,40.776404966262,-73.952802065662,New York,2019,A,,
84,40365264,LA GRENOUILLE,3,East 52 Street,Manhattan,French,Cycle Inspection / Re-inspection,2019-06-06,A,8.0,40.759658161533,-73.975977435444,New York,2019,A,,
88,40365499,YANKEE TAVERN,72,East 161 Street,Bronx,American,Cycle Inspection / Re-inspection,2019-11-25,B,21.0,40.827557861039,-73.925141196877,Bronx,2019,,B,
93,40365525,DONUT PUB,203,West 14 Street,Manhattan,Donuts,Cycle Inspection / Re-inspection,2022-06-23,B,26.0,40.738748341271,-74.000144342577,New York,2022,,B,
105,40365546,REBEN LUNCHEONETTE,229,Havemeyer Street,Brooklyn,American,Cycle Inspection / Re-inspection,2023-01-11,B,21.0,40.709039945161,-73.959151290226,Kings,2023,,B,
112,40365577,V T RESTAURANT,1024,Amsterdam Avenue,Manhattan,Italian,Cycle Inspection / Re-inspection,2020-03-10,A,13.0,40.803329420525,-73.963611914951,New York,2020,A,,
117,40365627,JAHNS RESTAURANT,81-04,37 Avenue,Queens,American,Cycle Inspection / Re-inspection,2022-02-28,B,19.0,40.74965336582,-73.885073567329,Queens,2022,,B,
121,40365632,J V FAMOUS PIZZA,6322,18 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2022-08-30,A,12.0,40.619956732515,-73.989352140632,Kings,2022,A,,
123,40365644,JOE ALLEN RESTAURANT,326,West 46 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-20,A,12.0,40.760178896668,-73.988882031739,New York,2022,A,,
131,40365784,GARGIULOS RESTAURANT,2911,West 15 Street,Brooklyn,Italian,Cycle Inspection / Re-inspection,2022-02-02,A,10.0,40.576555331866,-73.982584323148,Kings,2022,A,,
133,40365789,PATSYS ITALIAN RESTAURANT,236,West 56 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-12-28,B,18.0,40.765618195284,-73.98239751366,New York,2022,,B,
136,40365871,NEARYS PUB,358,East 57 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-02-01,A,13.0,40.758639389205,-73.963748322244,New York,2022,A,,
145,40365904,MEE SUM CAFE,26,Pell Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2022-09-30,C,59.0,40.714860627928,-73.998199974185,New York,2022,,,C
162,40365942,HOP KEE RESTAURANT,21,Mott Street,Manhattan,Chinese,Cycle Inspection / Re-inspection,2023-02-28,A,12.0,40.71436383248,-73.998784360399,New York,2023,A,,
164,40365968,NANCY WHISKEY PUB,1,Lispenard Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-28,A,10.0,40.720539457665,-74.005010921281,New York,2022,A,,
166,40366002,MARGHERITA PIZZA,16304,Jamaica Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2022-01-28,A,9.0,40.704667713048,-73.796822882442,Queens,2022,A,,
168,40366132,DENINOS PIZZERIA TAVERN,524,Port Richmond Avenue,Staten Island,Pizza,Cycle Inspection / Re-inspection,2022-02-28,A,13.0,40.630024412021,-74.140168869243,Richmond,2022,A,,
171,40366154,MICHAELS RESTAURANT,2929,Avenue R,Brooklyn,Italian,Cycle Inspection / Re-inspection,2020-01-07,B,14.0,40.607418586159,-73.943003631919,Kings,2020,,B,
174,40366230,DON PEPPE,13558,Lefferts Boulevard,Queens,Italian,Cycle Inspection / Re-inspection,2022-11-22,C,35.0,40.670258237563,-73.820976082388,Queens,2022,,,C
181,40366356,BLARNEY CASTLE,20224,Rockaway Point Boulevard,Queens,American,Cycle Inspection / Re-inspection,2019-08-01,B,17.0,40.560775789189,-73.911783397474,Queens,2019,,B,
